SIZE,CLASSIC,RECURSIVE,STRASSEN
4,2,222,534
36,425,238145,2849436
68,2848,1916448,34243185
100,9078,1915730,34232280
132,20929,15275914,411628119
164,40095,15283164,411586879
196,69408,15274821,411566577
228,110806,15269759,411562891
260,165347,122354934,4935434277
292,237093,122420089,4936187193
324,329046,122386537,4936315832
356,446394,122381368,4935745535
388,585339,122496830,4936020612
420,753944,122472774,4936117530
452,948953,122374575,4937313454
484,1169439,122382199,4934842121
516,1451847,978440611,59186635756
